Subject,Nonword,ARPA,TrialNum,TestOrControl,Naturalness,Type,Hwi_ConstraintWeight,Hwi_Score,Albright2009,Task,TaskOrder,SubjectResponse,LogResponse
29,plup,P L AH P,26,control,natural,NatCon,4.273,0,0.00000415,line,2,223.9931,5.411615248
1,ruft,R AH F T,54,control,natural,NatCon,2.676,0,0.00000363,line,2,279.565,5.633234824
2,ruft,R AH F T,11,control,natural,NatCon,2.676,0,0.00000363,line,1,347.0486,5.849464828
3,ruft,R AH F T,74,control,natural,NatCon,2.676,0,0.00000363,line,2,332.6033,5.806950489
4,ruft,R AH F T,1,control,natural,NatCon,2.676,0,0.00000363,line,1,222.033,5.402826019
5,ruft,R AH F T,1,control,natural,NatCon,2.676,0,0.00000363,line,2,139.9915,4.941581706
6,ruft,R AH F T,40,control,natural,NatCon,2.676,0,0.00000363,line,1,244.172,5.497872895
7,ruft,R AH F T,17,control,natural,NatCon,2.676,0,0.00000363,line,2,214.4383,5.368022051
8,ruft,R AH F T,22,control,natural,NatCon,2.676,0,0.00000363,line,2,135.4477,4.908585588
9,ruft,R AH F T,44,control,natural,NatCon,2.676,0,0.00000363,line,1,427.7957,6.058645745
10,ruft,R AH F T,33,control,natural,NatCon,2.676,0,0.00000363,line,1,422.1207,6.045291292
11,ruft,R AH F T,33,control,natural,NatCon,2.676,0,0.00000363,line,1,339.9141,5.828692939
12,ruft,R AH F T,38,control,natural,NatCon,2.676,0,0.00000363,line,2,446.0877,6.100515569
13,ruft,R AH F T,3,control,natural,NatCon,2.676,0,0.00000363,line,2,222.685,5.405758217
14,ruft,R AH F T,63,control,natural,NatCon,2.676,0,0.00000363,line,2,218.2013,5.385418031
15,ruft,R AH F T,29,control,natural,NatCon,2.676,0,0.00000363,line,2,222.75,5.406050066
16,ruft,R AH F T,3,control,natural,NatCon,2.676,0,0.00000363,line,2,190.7802,5.25112198
17,ruft,R AH F T,8,control,natural,NatCon,2.676,0,0.00000363,line,2,77.174,4.346062613
18,ruft,R AH F T,66,control,natural,NatCon,2.676,0,0.00000363,line,2,640.0702,6.461577858
19,ruft,R AH F T,74,control,natural,NatCon,2.676,0,0.00000363,line,1,296.2789,5.69130124
20,ruft,R AH F T,10,control,natural,NatCon,2.676,0,0.00000363,line,2,215.3047,5.372054234
21,ruft,R AH F T,73,control,natural,NatCon,2.676,0,0.00000363,line,2,561.9225,6.33136394
22,ruft,R AH F T,13,control,natural,NatCon,2.676,0,0.00000363,line,2,151.7242,5.022064399
23,ruft,R AH F T,65,control,natural,NatCon,2.676,0,0.00000363,line,2,287.7993,5.662263362
24,ruft,R AH F T,56,control,natural,NatCon,2.676,0,0.00000363,line,2,363.9987,5.897150296
25,ruft,R AH F T,30,control,natural,NatCon,2.676,0,0.00000363,line,2,96.36621,4.568155621
26,ruft,R AH F T,44,control,natural,NatCon,2.676,0,0.00000363,line,1,266.3101,5.584661419
27,ruft,R AH F T,27,control,natural,NatCon,2.676,0,0.00000363,line,2,401.3211,5.994761855
28,ruft,R AH F T,49,control,natural,NatCon,2.676,0,0.00000363,line,2,54.04321,3.989783912
29,ruft,R AH F T,59,control,natural,NatCon,2.676,0,0.00000363,line,2,339.4921,5.827450677
